,90s,Gls,Sh,SoT,SoT%,Sh/90,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,Cosine Similarity
0,20.9,0,9,2,22.2,0.43,20.2,0,0,0,0.6,0.6,-0.6,-0.6,[[0.58606976]]
1,21.0,1,14,4,28.6,0.67,19.1,0,0,0,1.0,1.0,0.0,0.0,[[0.68876983]]
3,20.3,0,19,4,21.1,0.94,21.6,0,0,0,1.7,1.7,-1.7,-1.7,[[0.98269945]]
7,20.6,10,63,23,36.5,3.06,11.8,2,0,0,12.1,12.1,-2.1,-2.1,[[0.15209178]]
63,20.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,[[0.61379086]]
100,21.4,8,57,18,31.6,2.66,14.2,0,0,1,7.8,7.5,0.2,0.5,[[0.65000515]]
177,20.0,1,10,1,10.0,0.5,21.9,0,0,0,0.4,0.4,0.6,0.6,
234,20.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
253,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
297,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
329,20.4,3,26,9,34.6,1.27,18.8,5,0,0,2.4,2.4,0.6,0.6,
332,21.6,6,57,21,36.8,2.64,15.6,0,0,0,8.1,8.1,-2.1,-2.1,
348,20.3,2,20,7,35.0,0.98,8.2,0,0,0,3.1,3.1,-1.1,-1.1,
357,20.3,0,23,9,39.1,1.13,20.8,0,0,0,0.9,0.9,-0.9,-0.9,
379,20.6,0,11,3,27.3,0.53,20.8,0,0,0,0.6,0.6,-0.6,-0.6,
380,21.0,1,10,2,20.0,0.48,9.9,0,0,0,0.9,0.9,0.1,0.1,
402,20.4,0,13,6,46.2,0.64,19.4,0,0,0,1.2,1.2,-1.2,-1.2,
412,21.9,1,46,15,32.6,2.1,22.7,1,0,0,2.2,2.2,-1.2,-1.2,
413,21.8,6,52,17,32.7,2.38,21.2,4,0,0,3.6,3.6,2.4,2.4,
431,21.0,2,17,5,29.4,0.81,10.3,0,0,0,1.9,1.9,0.1,0.1,
438,20.8,1,18,4,22.2,0.86,19.0,0,0,0,1.2,1.2,-0.2,-0.2,
450,20.0,1,12,4,33.3,0.6,8.8,0,0,0,1.2,1.2,-0.2,-0.2,
454,20.7,2,11,3,27.3,0.53,9.6,0,0,0,1.2,1.2,0.8,0.8,
500,21.0,2,7,2,28.6,0.33,8.1,0,0,0,1.6,1.6,0.4,0.4,
511,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
534,21.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
540,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
544,20.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
577,20.9,1,23,6,26.1,1.1,21.4,0,0,0,1.5,1.5,-0.5,-0.5,
583,20.5,0,11,1,9.1,0.54,13.5,0,0,0,0.8,0.8,-0.8,-0.8,
642,22.8,1,13,3,23.1,0.57,11.0,0,0,0,0.7,0.7,0.3,0.3,
670,20.0,2,21,7,33.3,1.05,11.9,1,0,0,1.6,1.6,0.4,0.4,
687,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
745,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
777,22.0,2,12,6,50.0,0.55,19.2,0,0,0,0.7,0.5,1.3,1.5,
787,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
791,21.0,2,9,3,33.3,0.43,10.9,0,0,0,0.9,0.9,1.1,1.1,
844,21.8,6,59,20,33.9,2.71,19.4,0,0,0,5.3,5.3,0.7,0.7,
849,22.0,0,10,3,30.0,0.45,10.0,0,0,0,0.7,0.7,-0.7,-0.7,
891,21.6,0,9,2,22.2,0.42,27.9,1,0,0,0.2,0.2,-0.2,-0.2,
897,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
905,20.0,4,17,4,23.5,0.85,12.8,0,0,0,0.8,0.8,3.2,3.2,
907,21.0,0,16,4,25.0,0.76,23.1,0,0,0,0.6,0.6,-0.6,-0.6,
919,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
939,20.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
946,21.4,5,31,5,16.1,1.45,16.0,3,0,0,1.7,1.7,3.3,3.3,
963,20.7,1,5,2,40.0,0.24,10.0,0,0,0,0.8,0.8,0.2,0.2,
985,20.8,0,2,0,0.0,0.1,32.8,0,0,0,0.0,0.0,0.0,0.0,
992,20.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
1017,21.0,2,11,4,36.4,0.52,11.4,0,0,0,1.5,1.5,0.5,0.5,
1037,20.0,0,12,2,16.7,0.6,20.4,0,0,0,0.5,0.5,-0.5,-0.5,
1047,21.2,4,27,9,33.3,1.27,15.8,0,0,0,3.3,3.3,0.7,0.7,
1063,22.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
1108,21.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,
